,0
company,552
eur,489
share,307
million,225
sale,221
said,219
finnish,217
mn,207
finland,204
service,195
business,183
group,182
market,171
new,162
net,153
profit,147
also,129
mln,125
operating,121
euro,119
product,111
year,109
total,108
helsinki,99
oyj,97
unit,97
plant,97
solution,90
investment,90
operation,88
financial,88
quarter,88
contract,85
system,82
value,82
bank,81
first,81
production,80
project,79
nokia,79
board,79
capital,79
customer,78
period,77
part,77
mobile,73
building,73
according,73
corporation,73
per,71
stock,71
oy,70
well,70
price,70
development,66
area,66
order,65
industry,64
report,63
construction,62
technology,61
medium,61
approximately,61
today,61
right,58
would,58
deal,58
option,55
employee,54
plc,53
ceo,53
network,53
one,52
director,52
two,52
result,52
stake,50
includes,49
number,49
annual,49
loss,49
design,48
omx,48
office,48
paper,48
percent,47
shareholder,47
data,47
exchange,47
including,46
u,45
include,45
based,45
end,45
equipment,45
information,45
country,44
usd,44
pct,44
management,44
agreement,44
line,44
expected,44
facility,43
transaction,43
eurm,42
offer,42
global,42
january,42
compared,42
decreased,41
hel,41
russia,41
application,41
may,41
acquisition,40
start,39
people,39
manufacturing,39
ltd,39
sector,39
second,38
plan,38
software,37
dividend,37
sell,37
september,37
communication,36
time,36
october,36
announced,36
issue,35
march,35
month,35
device,35
news,35
phone,35
billion,34
oil,34
delivery,34
made,34
use,34
electronics,33
engineering,33
subsidiary,33
meeting,33
cover,33
amount,33
president,33
developed,33
available,33
work,33
however,32
consumer,32
revenue,32
fell,32
reported,32
following,32
make,31
last,31
capman,31
power,31
material,31
distribution,31
pharmaceutical,30
currently,30
member,30
fund,30
take,30
april,30
general,30
energy,29
property,29
manufacturer,29
range,29
brand,29
center,28
earlier,28
holding,28
nordea,28
release,28
used,28
mill,28
third,28
industrial,28
corresponding,28
acquired,28
process,28
chairman,28
real,27
detail,27
china,27
security,27
international,27
related,27
store,27
division,27
capacity,27
voting,27
analysis,27
