,0
eur,582
mn,257
company,232
sale,229
profit,208
net,197
said,194
finnish,177
year,167
million,164
period,141
mln,125
operating,120
quarter,116
share,113
group,104
new,96
rose,92
market,91
increased,89
service,88
euro,87
oyj,83
today,81
percent,77
increase,76
loss,76
first,75
business,72
compared,70
buy,69
long,65
finland,65
corresponding,64
also,63
order,61
contract,59
price,55
aapl,55
growth,54
operation,54
agreement,53
solution,52
technology,49
last,48
stock,48
month,45
per,45
signed,44
product,43
hel,42
earnings,42
customer,41
eurm,39
higher,39
plc,39
deal,38
system,38
good,38
result,37
nokia,37
maker,37
strong,36
second,36
bank,36
line,35
cost,35
u,35
billion,35
acquisition,35
corporation,35
high,35
revenue,35
supply,35
grew,34
earlier,34
well,34
positive,34
time,33
third,32
network,32
financial,32
ceo,31
position,31
awarded,31
pct,31
dividend,31
rise,31
volume,31
expected,31
mobile,30
see,30
report,30
eps,29
project,29
usd,29
day,29
according,28
plant,28
support,28
nine,28
say,27
tsla,27
news,27
helsinki,26
yearonyear,26
russia,26
industry,25
provider,25
close,25
investment,25
steel,25
end,24
target,24
area,24
week,24
china,24
paper,24
call,24
fb,23
breakout,23
unit,23
looking,23
back,23
cooperation,23
global,23
astrazeneca,23
offer,22
pretax,22
significant,22
would,22
cash,22
one,22
aim,22
capital,21
expects,21
uk,21
look,21
construction,21
sell,20
bullish,20
gain,20
improved,20
metal,20
respectively,20
equipment,20
plan,20
may,19
omx,19
strategy,19
update,19
two,19
software,19
country,18
estimated,18
largest,18
short,18
still,18
february,18
ab,18
spy,18
demand,18
beer,18
announced,18
director,18
break,18
saving,18
management,17
ago,17
chart,17
move,17
totaled,17
however,17
tesco,17
go,17
total,17
manufacturing,17
drug,17
narrowed,17
versus,17
value,17
process,17
insurance,17
next,17
head,17
run,16
handling,16
improve,16
production,16
term,16
current,16
income,16
g,16
board,16
oil,16
stake,16
manufacturer,16
yit,16
received,16
ruukki,16
