,0
eur,180
mn,118
profit,76
sale,65
net,50
share,48
company,46
finnish,44
short,43
year,42
operating,41
said,39
loss,39
quarter,37
price,37
period,36
mln,34
tsla,34
million,31
lower,30
first,29
decreased,28
today,28
aapl,27
market,25
compared,25
corresponding,22
fall,22
oyj,22
x,21
euro,21
spy,21
result,20
recall,19
model,19
day,19
half,18
fell,18
sell,18
bank,18
finland,18
stock,18
cut,17
group,16
fb,16
back,16
tesla,15
third,15
hel,15
u,14
drop,14
earlier,14
report,13
helsinki,13
hit,13
pct,13
q,12
totaled,12
total,12
still,12
item,12
weak,12
percent,12
ftse,12
move,11
support,11
chart,11
put,11
new,11
point,11
last,11
cost,11
tesco,11
like,10
look,10
week,10
operation,10
totalled,10
excluding,10
negative,9
nonrecurring,9
per,9
maker,9
month,9
revenue,9
pretax,9
oil,9
sbux,9
high,9
omx,9
capital,9
low,9
bearish,9
billion,9
next,8
go,8
plan,8
march,8
index,8
time,8
people,8
earnings,8
warning,8
seat,8
update,8
staff,8
september,8
take,8
one,8
due,8
bhp,8
got,8
level,8
scanfil,8
close,8
job,7
employee,7
suv,7
rating,7
rt,7
product,7
also,7
unit,7
gain,7
usd,7
say,7
see,7
chief,7
glencore,7
worker,7
since,7
estimate,7
system,7
going,7
management,7
dividend,7
tax,7
get,7
face,6
may,6
april,6
eurm,6
test,6
amounted,6
near,6
deutsche,6
production,6
october,6
passenger,6
find,6
resistance,6
shell,6
manufacturer,6
contract,6
investor,6
currency,6
big,6
second,6
slump,6
iwm,6
g,6
early,6
qqq,6
could,6
term,6
slipped,6
whole,6
think,5
morrison,5
end,5
signal,5
dropped,5
gap,5
number,5
lead,5
investment,5
daily,5
energy,5
would,5
condition,5
ceo,5
layoff,5
red,5
downgraded,5
good,5
debt,5
break,5
might,5
bottom,5
news,5
nine,5
barclays,5
route,5
previous,5
downgrade,5
royal,5
however,5
make,5
min,5
top,5
